,age,sl
593,14.35,-99.635
594,14.4,-103.31
595,14.41,-103.27
596,14.52,-97.69
597,14.54,-105.58
598,14.57,-103.05
599,14.64,-103.58
600,14.72,-98.87
601,14.73,-100.95
602,14.74,-102.0
603,14.75,-100.79
604,14.76,-100.68
605,14.99,-101.95
606,15.14,-96.51
607,15.15,-104.74
608,15.18,-105.69
609,15.29,-98.85
610,15.41,-109.31
611,15.51,-108.93
612,15.86,-109.54
613,15.94,-118.52
614,16.02,-115.58
615,16.3,-118.86
616,16.8,-121.91
617,16.9,-124.79
618,16.98,-123.23
619,17.08,-124.95
620,17.1,-124.76
621,17.58,-122.79
622,18.12,-122.1
623,18.17,-122.73
624,18.18,-123.01
625,18.2,-124.59
626,18.22,-122.88
627,18.23,-118.5
628,18.41,-121.305
629,18.45,-122.98
630,18.55,-123.93
631,18.72,-126.0
632,18.75,-124.22
633,18.78,-124.35
634,18.81,-126.1
635,18.84,-121.68
636,19.08,-131.37
637,19.12,-132.52
638,19.25,-122.33
639,19.39,-119.75
640,19.46,-132.25
641,19.52,-121.43
642,19.67,-132.8
643,19.71,-122.12
644,19.72,-128.19
645,19.74,-132.8
646,20.04,-132.45
647,20.4,-141.85
648,20.48,-133.89
649,20.52,-138.0
650,21.0,-135.9
651,21.69,-133.91
652,21.92,-128.53
653,21.98,-136.28
654,23.79,-126.56
655,24.04,-141.24
656,24.48,-132.45
657,28.28,-125.1
658,28.33,-125.52
659,29.07,-124.17
660,29.21,-128.0
661,29.58,-122.59
662,29.98,-121.79
663,30.15,-101.03
664,30.23,-101.21
665,30.24,-101.81
666,30.3,-101.58
667,31.5,-84.35
668,31.53,-76.65
669,32.0,-83.41
670,32.26,-77.21
671,32.6,-75.22
672,34.1,-69.25
