,age,dsl,dt,fwf
4.23,4.225,-0.035765298209284646,315360000.0000213,41054.788025622045
4.24,4.235,-0.02559405384858726,315359999.9999933,29379.272872871592
4.26,4.25,-0.07791832457237513,630719999.9999866,44721.00693683472
4.27,4.265,-0.021853348507267167,315359999.9999933,25085.337898372916
4.28,4.275,-0.008005910664268923,315360000.0000213,9189.940577324816
4.29,4.285,-0.022547371766938884,315359999.9999933,25882.003360071183
4.3,4.295,-0.026148640521181044,315359999.9999933,30015.879847373602
4.31,4.305,-0.029550826050141366,315359999.9999933,33921.2298013426
4.34,4.324999999999999,-0.06673566103756334,946080000.000008,25535.165414761675
4.37,4.355,-0.006800682187494189,946080000.000008,2602.155157991793
4.38,4.375,0.009772742216410224,315359999.9999933,-11218.076745118518
4.39,4.385,0.016060510170068376,315359999.9999933,-18435.770806585726
4.4,4.395,0.016006417629864655,315360000.0000213,-18373.678278826148
4.42,4.41,0.06804952635808692,630719999.9999866,-39056.83748989724
4.43,4.425,0.019844067857170078,315359999.9999933,-22778.895751825596
4.44,4.4350000000000005,0.02268552666338075,315360000.0000213,-26040.590601671985
4.47,4.455,0.07250838179352925,946079999.9999799,-27743.990158610424
4.48,4.475,0.01790329801095747,315360000.0000213,-20551.09677817785
4.49,4.485,0.03766341219760938,315359999.9999933,-43233.622575897025
4.5,4.495,0.027451432750267735,315359999.9999933,-31511.347842456657
4.51,4.505,0.02857610416224965,315359999.9999933,-32802.351936626685
4.53,4.52,0.06860410969644404,630720000.0000145,-39375.13906347059
4.57,4.550000000000001,-0.006236553247679577,1261440000.000001,1789.7262459252959
4.58,4.575,-0.018071791702236162,315359999.9999933,20744.509754596744
4.59,4.585,-0.018271454183758085,315359999.9999933,20973.70121296476
4.6,4.595,-0.011678492698698806,315359999.9999933,13405.67718457971
4.61,4.605,-0.01663323899823288,315360000.0000213,19093.20306113615
4.62,4.615,0.0016213385234999933,315359999.9999933,-1861.125524819286
4.65,4.635,0.029827655375344708,946080000.000008,-11413.000217608123
4.66,4.655,0.007937501733287888,315359999.9999933,-9111.414343766732
4.67,4.665,-0.00351433356048636,315359999.9999933,4034.084059158071
4.68,4.675,-0.012922665026553704,315359999.9999933,14833.855719217847
4.7,4.6899999999999995,-0.03303486593959537,630720000.0000145,18960.26996152532
4.71,4.705,-0.02028362818433549,315359999.9999933,23283.46462052766
4.75,4.73,-0.08421470559039723,1261440000.000001,24167.39870602151
4.78,4.765000000000001,-0.039076723526616286,946080000.000008,14951.984944861932
4.8,4.79,-0.07206478846433972,630719999.9999866,41361.386073204485
4.81,4.805,-0.053103385608404885,315359999.9999933,60957.08266819817
4.82,4.8149999999999995,-0.04382860369979191,315360000.0000213,50310.61180658169
4.84,4.83,-0.09188659281981826,630719999.9999866,52738.05587388209
4.85,4.845,-0.03640964240042455,315359999.9999933,41794.42715929086
4.87,4.859999999999999,-0.07692289044845024,630720000.0000145,44149.68027387485
4.95,4.91,-0.1616050563627609,2522880000.000002,23188.193811564324
4.96,4.955,-0.022973142314973716,315359999.9999933,26370.74301756932
5.03,4.995,-0.16649451685229133,2207520000.000009,27302.59073554451
5.06,5.045,0.003204038217200278,946079999.9999799,-1225.9659168638225
5.07,5.0649999999999995,0.005767248749370069,315360000.0000213,-6620.192945433231
